School,City,State,Zip,Latitude,Longitude,Team_id
Texas Christian,Fort Worth,Texas,76101,32.7714,-97.2915,1395
Texas El Paso,El Paso,Texas,79901,31.7584,-106.4783,1431
Texas Rio Grande Valley,Edinburg,Texas,78539,26.2792,-98.1832,1427
Texas San Antonio,San Antonio,Texas,78201,29.4711,-98.5356,1427
Texas Southern,Houston,Texas,77001,29.8131,-95.3098,1411
Texas State,San Marcos,Texas,78666,29.8754,-97.9404,1402
Texas Tech,Lubbock,Texas,79401,33.5865,-101.8606,1403
Toledo,Toledo,Ohio,43601,41.7207,-83.5694,1405
Towson,Towson,Maryland,21204,39.4072,-76.6038,1406
Troy,Troy,Alabama,36079,31.7595,-86.0107,1407
Tulane,New Orleans,Louisiana,70112,29.9605,-90.0753,1408
Tulsa,Tulsa,Oklahoma,74101,36.0391,-95.8687,1409
Air Force,Colorado Springs,Colorado,80901,38.8615,-104.8578,1102
Army,West Point,New York,10996,41.3945,-73.9737,1119
Navy,Annapolis,Maryland,21401,38.9898,-76.5501,1298
Utah,Salt Lake City,Utah,84101,40.7559,-111.8967,1428
Utah State,Logan,Utah,84321,41.747,-111.8226,1429
Utah Valley,Orem,Utah,84057,40.3134,-111.6953,1430
Valparaiso,Valparaiso,Indiana,46383,41.4547,-87.0656,1434
Vanderbilt,Nashville,Tennessee,37201,36.1657,-86.7781,1435
Vermont,Burlington,Vermont,5401,44.484,-73.2199,1436
Villanova,Radnor Township,Pennsylvania,19085,40.043739,-75.341509,1437
Virginia,Charlottesville,Virginia,22901,38.0936,-78.5611,1438
Virginia Commonwealth,Richmond,Virginia,23201,37.5593,-77.4471,1433
Virginia Military Institute,Lexington,Virginia,24450,37.7885,-79.4581,1440
Virginia Tech,Blacksburg,Virginia,24060,37.2563,-80.4347,1439
Wagner College,Staten Island,New York,10301,40.6316,-74.0927,1448
Wake Forest,Winston-Salem,North Carolina,27587,36.1352,-80.276,1449
Washington,Seattle,Washington,98060,47.4323,-121.8034,1450
Washington State,Pullman,Washington,99163,46.7352,-117.1729,1451
Weber State,Ogden,Utah,84201,41.2443,-112.0079,1452
West Virginia,Morgantown,West Virginia,26501,39.6099,-79.9831,1452
Western Carolina,Cullowhee,North Carolina,28723,35.2409,-83.1475,1441
Western Illinois,Macomb,Illinois,61455,40.4617,-90.6787,1442
