Year,Player,High School,team
2004,Robert Swift,"Bakersfield (Bakersfield, CA)"
2004,Sebastian Telfair,"Abraham Lincoln (Brooklyn, NY)"
2004,Darius Washington,"Edgewater (Orlando, FL)"
2004,D.J. White,"Hillcrest (Tuscaloosa, AL)"
2004,Marvin Williams,"Bremerton (Bremerton, WA)"
2004,Mike Williams,"Wilcox Central (Camden, AL)"
2004,Brandon Bass,"Capitol (Baton Rouge, LA)"
2003,Aaron Brooks,"Franklin (Seattle, WA)"
2003,Shannon Brown,"Proviso East (Maywood, IL)"
2003,Brian Butch,"Appleton West (Appleton, WI)"
2003,Jackie Butler,"Coastal Christian Academy (Virginia Beach, VA)"
2003,Brandon Cotton,"Saint Martin DePorres (Detroit, MI)"
2003,Luol Deng,"Blair Academy (Blairstown, NJ)"
2003,Ndudi Ebi,"Westbury Christian School (Houston, TX)"
2003,Olu Famutimi,"Northwestern (Flint, MI)"
2003,J.R. Giddens,"John Marshall (Oklahoma City, OK)"
2003,Ivan Harris,"Oak Hill Academy (Mouth of Wilson, VA)"
2003,Kris Humphries,"Hopkins (Minnetonka, MN)"
2003,LeBron James,"Saint Vincent-Saint Mary (Akron, OH)"
2003,Michael Jones,"Thayer Academy (Braintree, MA)"
2003,James Lang,"Central Park Christian (Birmingham, AL)"
2003,Drew Lavender,"Brookhaven (Columbus, OH)"
2003,Travis Outlaw,"Starkville (Starkville, MS)"
2003,David Padgett,"Reno (Reno, NV)"
2003,Chris Paul,"West Forsyth (Clemmons, NC)"
2003,Kendrick Perkins,"Clifton J. Ozen (Beaumont, TX)"
2003,Leon Powe,"Oakland Technical (Oakland, CA)"
2003,Mustafa Shakur,"Friends' Central School (Wynnewood, PA)"
2003,Charlie Villanueva,"Blair Academy (Blairstown, NJ)"
2003,Von Wafer,"Heritage Christian Academy (Cleveland, TX)"
2003,Hassan Adams,"Westchester (Los Angeles, CA)"
2002,Carmelo Anthony,"Oak Hill Academy (Mouth of Wilson, VA)"
2002,Chris Bosh,"Lincoln (Dallas, TX)"
2002,Dee Brown,"Proviso East (Maywood, IL)"
2002,Brad Buckman,"Westlake (Austin, TX)"
2002,Evan Burns,"Fairfax (Los Angeles, CA)"
2002,DeAngelo Collins,"Inglewood (Inglewood, CA)"
2002,Paul Davis,"Rochester (Rochester, MI)"
2002,Sean Dockery,"Percy L. Julian (Chicago, IL)"
2002,Raymond Felton,"Latta (Latta, SC)"
2002,Torin Francis,"Tabor Academy (Marion, MA)"
2002,Jason Fraser,"Memorial (Amityville, NY)"
2002,Travis Garrison,"DeMatha Catholic (Hyattsville, MD)"
2002,Daniel Horton,"Cedar Hill (Cedar Hill, TX)"
2002,Elijah Ingram,"Saint Anthony's (Jersey City, NJ)"
2002,Sean May,"Bloomington North (Bloomington, IN)"
2002,Rashad McCants,"New Hampton School (New Hampton, NH)"
2002,Shavlik Randolph,"Broughton (Raleigh, NC)"
2002,J.J. Redick,"Cave Spring (Roanoke, VA)"
2002,Anthony Roberson,"Saginaw (Saginaw, MI)"
2002,Amar'e Stoudemire,"Cypress Creek (Orlando, FL)"
2002,Michael Thompson,"Providence Catholic (New Lenox, IL)"
2002,Eric Williams,"Wake Forest-Rolesville (Wake Forest, NC)"
2002,Bracey Wright,"The Colony (The Colony, TX)"
2002,Cedric Bozeman,"Mater Dei (Santa Ana, CA)"
2001,Kwame Brown,"Glynn Academy (Brunswick, GA)"
2001,Rashaad Carruth,"Oak Hill Academy (Mouth of Wilson, VA)"
2001,Tyson Chandler,"Dominguez (Compton, CA)"
2001,Josh Childress,"Mayfair (Lakewood, CA)"
2001,Ousmane Cisse,"Saint Jude (Montgomery, AL)"
2001,Eddy Curry,"Thornwood (South Holland, IL)"
2001,DeSagana Diop,"Oak Hill Academy (Mouth of Wilson, VA)"
2001,Daniel Ewing,"Willowridge (Houston, TX)"
2001,T.J. Ford,"Willowridge (Houston, TX)"
2001,David Harrison,"Brentwood Academy (Brentwood, TN)"
2001,Julius Hodge,"St. Raymond (Bronx, NY)"
2001,Carlos Hurt,"Moore (Louisville, KY)"
2001,David Lee,"Chaminade College Preparatory School (St. Louis, MO)"
2001,Aaron Miles,"Jefferson (Portland, OR)"
2001,Anthony Richardson,"Leesville Road (Raleigh, NC)"
2001,Rick Rickert,"East (Duluth, MN)"
2001,Wayne Simien,"Leavenworth (Leavenworth, KS)"
2001,Chris Thomas,"Pike (Indianapolis, IN)"
2001,Kelvin Torbert,"Northwestern (Flint, MI)"
2001,Dajuan Wagner,"Camden (Camden, NJ)"
2001,James White,"Hargrave Military Academy (Chatham, VA)"
2001,Jawad Williams,"Saint Edward (Lakewood, OH)"
2001,Mo Williams,"Murrah (Jackson, MS)"
2001,Mario Austin,"Sumter County (York, AL)"
2000,Andre Barrett,"Rice (New York, NY)"
2000,Brian Boddicker,"Duncanville (Duncanville, TX)"
2000,Andre Brown,"Leo (Chicago, IL)"
2000,Taliek Brown,"Saint John's Prep (Astoria Long Island, NY)"
2000,Travon Bryant,"David Starr Jordan (Long Beach, CA)"
2000,Omar Cook,"Christ the King (Middle Village, NY)"
2000,Chris Duhon,"Salmen (Slidell, LA)"
2000,Neil Fingleton,"Holy Name Central Catholic (Worcester, MA)"
2000,Alton Ford,"Milby (Houston, TX)"
2000,Eddie Griffin,"Roman Catholic (Philadelphia, PA)"
2000,Jerome Harper,"W.J. Keenan (Columbia, SC)"
2000,Scott Hazelton,"Central Catholic (Lawrence, MA)"
2000,Rolando Howell,"Lower Richland (Hopkins, SC)"
2000,Jared Jeffries,"Bloomington North (Bloomington, IN)"
2000,Garner Meads,"Brighton (Salt Lake City, UT)"
2000,Darius Miles,"East St. Louis (East St. Louis, IL)"
2000,Zach Randolph,"Marion (Marion, IN)"
2000,Darius Rice,"Lanier (Jackson, MS)"
2000,Luke Ridnour,"Blaine (Blaine, WA)"
2000,Scooter Sherrill,"West Rowan (Mt. Ulla, NC)"
2000,DeShawn Stevenson,"Washington Union (Fresno, CA)"
2000,Marcus Taylor,"Waverly (Lansing, MI)"
2000,Gerald Wallace,"Childersburg (Childersburg, AL)"
2000,Jonathan Bender,"Picayune Memorial (Picayune, MS)"
1999,LaVell Blanchard,"Pioneer (Ann Arbor, MI)"
1999,Keith Bogans,"DeMatha Catholic (Hyattsville, MD)"
1999,Carlos Boozer,"Juneau-Douglas (Juneau, AK)"
1999,Nick Collison,"Iowa Falls (Iowa Falls, IA)"
1999,Brian Cook,"Lincoln (Lincoln, IL)"
1999,Mike Dunleavy,"Jesuit (Portland, OR)"
1999,Joseph Forte,"DeMatha Catholic (Hyattsville, MD)"
1999,Jason Gardner,"North Central (Indianapolis, IN)"
1999,Donnell Harvey,"Randolph-Clay (Cuthbert, GA)"
1999,Casey Jacobsen,"Glendora (Glendora, CA)"
1999,DerMarr Johnson,"Maine Central Institute (Pittsfield, ME)"
1999,Jason Kapono,"Artesia (Lakewood, CA)"
1999,Majestic Mapp,"St. Raymond (Bronx, NY)"
1999,Brett Nelson,"Saint Albans (St. Albans, WV)"
1999,Jason Richardson,"Arthur Hill (Saginaw, MI)"
1999,Casey Sanders,"Tampa Preparatory School (Tampa, FL)"
1999,Kenny Satterfield,"Rice (New York, NY)"
1999,Marvin Stone,"Grissom (Huntsville, AL)"
1999,Damien Wilkins,"Dr. Phillips (Orlando, FL)"
1999,Jay Williams,"Saint Joseph (Metuchen, NJ)"
1999,Erick Barkley,"Maine Central Institute (Pittsfield, ME)"
1998,Jeff Boschee,"Valley City (Valley City, ND)"
1998,Jason Capel,"Saint John's Catholic Prep (Frederick, MD)"
1998,Ronald Curry,"Hampton (Hampton, VA)"
1998,Ted Dupay,"Mariner (Cape Coral, FL)"
1998,Dane Fife,"Clarkston (Clarkston, MI)"
1998,Dan Gadzuric,"Governor Dummer Academy (Byfield, MA)"
1998,Al Harrington,"Saint Patrick (Elizabeth, NJ)"
1998,Richard Jefferson,"Moon Valley (Phoenix, AZ)"
1998,Kris Lang,"Hunter Huss (Gastonia, NC)"
1998,Rashard Lewis,"Elsik (Alief, TX)"
1998,Kevin Lyde,"Oak Hill Academy (Mouth of Wilson, VA)"
1998,Corey Maggette,"Fenwick (Oak Park, IL)"
1998,Danny Miller,"Rancocas Valley (Mount Holly, NJ)"
1998,Mike Miller,"Mitchell (Mitchell, SD)"
1998,Tayshaun Prince,"Dominguez (Compton, CA)"
1998,Joel Przybilla,"Monticello (Monticello, MN)"
1998,Quentin Richardson,"Whitney Young (Chicago, IL)"
1998,JaRon Rush,"Pembroke Hill (Kansas City, MO)"
1998,Stromile Swift,"Fair Park (Shreveport, LA)"
